ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_Area,AreaShape_Eccentricity,AreaShape_Solidity,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Compactness,AreaShape_FormFactor,AreaShape_Perimeter,AreaShape_ConvexArea,AreaShape_EquivalentDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,cancer_probability,classification,anomaly_score,top_deviations,sample_verdict
3,187.13693560325686,8.432272390821614,1351.0,0.9643666584834623,0.6590243902439025,103.75368739569113,27.45004701596681,4.881626710852966,0.20484974768283137,287.8822509939086,2050.0,41.47465038957176,24.884790233743054,20.73732519478588,62.4,cancer_suspect,-0.6327,"Compactness, MajorAxisLength, Perimeter",healthy
4,310.7890316205534,5.990612648221344,2024.0,0.9961068346048151,0.608538785327721,215.681829311693,19.013272666932526,8.304304398009252,0.12041947790831521,459.58073580374355,3326.0,50.76452342476948,30.458714054861687,25.38226171238474,91.7,cancer_suspect,-0.7361,"MajorAxisLength, Compactness, Perimeter",healthy
7,519.7109515260323,5.884201077199282,2228.0,0.9956887611056311,0.6617166617166618,214.38887424812043,19.886103430582935,8.55083019662852,0.11694770881946491,489.2903679018717,3367.0,53.26140915963398,31.956845495780385,26.63070457981699,88.7,cancer_suspect,-0.7258,"MajorAxisLength, Compactness, Perimeter",healthy
8,528.8941176470588,14.141176470588235,85.0,0.5075747709841933,0.9444444444444444,11.463319805202492,9.876884765798893,1.0845169538433765,0.9220694950467485,34.03553390593274,90.0,10.403141895720198,6.241885137432119,5.201570947860099,8.4,healthy,-0.5113,"Eccentricity, FormFactor, Solidity",healthy
9,573.2705882352941,13.83529411764706,85.0,0.8260684936613351,0.9659090909090909,14.053512961807714,7.920134545433535,1.113368059370541,0.8981755777737729,34.48528137423857,88.0,10.403141895720198,6.241885137432119,5.201570947860099,5.8,healthy,-0.4803,"FormFactor, Solidity, MaximumRadius",healthy
11,798.0764331210191,20.503184713375795,157.0,0.943231542146338,0.7268518518518519,26.75738875966737,8.88708947111348,1.9294764451017203,0.5182753085888441,61.698484809834994,216.0,14.138550439257221,8.483130263554333,7.069275219628611,1.2,healthy,-0.4258,"Solidity, Eccentricity, MinorAxisLength",healthy
12,823.6397058823529,19.764705882352942,136.0,0.9764830048546351,0.7861271676300579,30.546335145085774,6.5856185086758465,2.5470171653962717,0.39261612115771405,65.97665940288701,173.0,13.159049284959082,7.895429570975448,6.579524642479541,3.7,healthy,-0.4551,"FormFactor, Eccentricity, MinorAxisLength",healthy
13,869.5511262356182,13.976827094474153,6171.0,0.9932403504008651,0.4959414932090332,418.58455689153794,48.58756433664373,11.339820901776836,0.08818481426309918,937.747258045114,12443.0,88.64062968278536,53.18437780967121,44.32031484139268,100.0,cancer_suspect,-0.8149,"MajorAxisLength, ConvexArea, Perimeter",healthy
15,1084.1937754723972,10.929974064468322,2699.0,0.9720972498711142,0.6070625281151597,167.12579132313246,39.204069039747665,6.318389917247571,0.15826816848866174,462.9238815542512,4446.0,58.62144258921136,35.17286555352682,29.31072129460568,91.4,cancer_suspect,-0.7354,"MajorAxisLength, Compactness, Perimeter",healthy
18,1208.045996592845,12.71550255536627,1174.0,0.6860234319630548,0.6873536299765808,56.47394397968966,41.08928089575434,2.754827377477049,0.362999151299211,201.59797974644667,1708.0,38.66242653428625,23.19745592057175,19.331213267143124,10.9,healthy,-0.5399,"MinorAxisLength, Solidity, Perimeter",healthy
